epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.6133,1.45195,2.0883,1.34902,0.58239,0.56632,0.56248,0.34579,1.35792,1.17273,1.27454,0.00025559,0.00025559,0.00025559
2,68.4523,1.21943,1.22545,1.2073,0.51916,0.80736,0.64437,0.43268,1.15196,1.05096,1.19102,0.000506856,0.000506856,0.000506856
3,91.7733,1.20576,1.11153,1.1952,0.63084,0.83064,0.75857,0.527,1.15117,0.93161,1.16984,0.000753046,0.000753046,0.000753046
4,115.633,1.18408,1.04158,1.19039,0.73682,0.74066,0.72788,0.43056,1.38308,1.00107,1.32496,0.000746161,0.000746161,0.000746161
5,138.592,1.1582,0.98795,1.17866,0.69051,0.82625,0.78853,0.56773,1.12009,0.87842,1.13453,0.000738548,0.000738548,0.000738548
6,162.061,1.14185,0.94712,1.16701,0.67434,0.832,0.77093,0.54877,1.09713,0.85882,1.14778,0.000730935,0.000730935,0.000730935
7,184.705,1.12942,0.92588,1.16187,0.69109,0.86772,0.81269,0.49172,1.37546,0.83706,1.33348,0.000723321,0.000723321,0.000723321
8,207.637,1.12538,0.89513,1.15739,0.81701,0.83689,0.87981,0.64464,1.07682,0.78237,1.13036,0.000715708,0.000715708,0.000715708
9,230.553,1.11333,0.88244,1.15247,0.65952,0.88245,0.84509,0.61192,1.11893,0.78412,1.13746,0.000708095,0.000708095,0.000708095
10,254.021,1.109,0.8741,1.15182,0.7676,0.84048,0.84887,0.61106,1.0972,0.79731,1.15835,0.000700482,0.000700482,0.000700482
11,276.647,1.11089,0.86208,1.14935,0.80755,0.85883,0.90296,0.6622,1.08213,0.74851,1.13298,0.000692869,0.000692869,0.000692869
12,299.678,1.09195,0.84662,1.14046,0.80391,0.85959,0.89145,0.6458,1.07368,0.77834,1.14233,0.000685256,0.000685256,0.000685256
13,322.754,1.09055,0.84279,1.14256,0.81853,0.86991,0.91243,0.67938,1.04375,0.72245,1.12281,0.000677643,0.000677643,0.000677643
14,345.558,1.08876,0.8347,1.14209,0.82268,0.88653,0.92464,0.69579,1.03435,0.73026,1.11485,0.00067003,0.00067003,0.00067003
15,368.373,1.0794,0.82194,1.13296,0.80482,0.87877,0.92011,0.69675,1.01319,0.70163,1.09857,0.000662417,0.000662417,0.000662417
16,390.925,1.07134,0.81221,1.13157,0.83894,0.89427,0.93162,0.69043,1.05164,0.69215,1.1329,0.000654804,0.000654804,0.000654804
17,413.615,1.06945,0.80662,1.12898,0.83376,0.83175,0.89446,0.68402,1.00281,0.72259,1.08487,0.00064719,0.00064719,0.00064719
18,436.075,1.07017,0.80466,1.13064,0.86399,0.86318,0.93094,0.69576,1.0319,0.74664,1.10417,0.000639577,0.000639577,0.000639577
19,458.482,1.06999,0.80156,1.13532,0.83042,0.89967,0.93168,0.70033,1.11669,0.69784,1.12305,0.000631964,0.000631964,0.000631964
20,481.11,1.06818,0.80187,1.13049,0.86946,0.89453,0.94896,0.72685,1.01752,0.70846,1.09167,0.000624351,0.000624351,0.000624351
21,503.986,1.05964,0.79218,1.12491,0.88185,0.89062,0.94708,0.71049,1.03564,0.69049,1.11428,0.000616738,0.000616738,0.000616738
22,526.347,1.06744,0.79181,1.13293,0.86597,0.91208,0.94489,0.72118,1.02474,0.69312,1.10148,0.000609125,0.000609125,0.000609125
