epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0484,1.23294,1.87942,1.1264,0.51883,0.72925,0.66915,0.47085,1.06396,1.01808,1.10644,0.00025559,0.00025559,0.00025559
2,68.5686,1.16345,1.08982,1.09281,0.63153,0.77831,0.73565,0.52838,1.04257,0.97435,1.1161,0.000506856,0.000506856,0.000506856
3,91.5897,1.14985,0.98844,1.08569,0.61063,0.81421,0.75577,0.52516,1.05198,0.87092,1.14384,0.000753046,0.000753046,0.000753046
4,114.514,1.13986,0.92749,1.09011,0.6896,0.88518,0.83153,0.60954,1.02629,0.80041,1.12503,0.000746161,0.000746161,0.000746161
5,137.49,1.12584,0.88932,1.08575,0.71377,0.87082,0.87241,0.65998,0.98408,0.72459,1.08584,0.000738548,0.000738548,0.000738548
6,160.215,1.12575,0.86131,1.08635,0.67901,0.85464,0.8442,0.62631,0.98744,0.75192,1.09852,0.000730935,0.000730935,0.000730935
7,182.805,1.11592,0.84339,1.08289,0.80496,0.83637,0.90578,0.68667,0.99188,0.73754,1.0912,0.000723321,0.000723321,0.000723321
8,205.284,1.10834,0.81962,1.0794,0.85423,0.86651,0.92422,0.71909,0.96924,0.6861,1.08082,0.000715708,0.000715708,0.000715708
9,228.066,1.10168,0.80628,1.07572,0.79943,0.86847,0.91407,0.70246,0.97341,0.6949,1.08613,0.000708095,0.000708095,0.000708095
10,251.335,1.08939,0.79992,1.07055,0.82014,0.87509,0.92329,0.7093,0.9612,0.71346,1.0783,0.000700482,0.000700482,0.000700482
11,273.885,1.08754,0.78594,1.07049,0.84175,0.87923,0.93594,0.72349,0.98351,0.66534,1.08355,0.000692869,0.000692869,0.000692869
