epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.034,1.43348,2.07337,1.57836,0.91598,0.27339,0.31296,0.20349,1.1389,1.30497,1.40869,0.0033253,0.0033253,0.0033253
2,240.593,1.11919,1.06149,1.33981,0.73342,0.3382,0.43431,0.29433,1.06656,1.20233,1.34524,0.00659271,0.00659271,0.00659271
3,351.911,1.10695,0.98798,1.32271,0.3266,0.59474,0.46636,0.30457,1.19991,1.97624,1.45464,0.00979413,0.00979413,0.00979413
4,391.632,1.07842,0.95116,1.31075,0.54968,0.76145,0.61511,0.42602,1.04385,1.12563,1.32615,0.009703,0.009703,0.009703
5,431.24,1.02729,0.86903,1.27343,0.52062,0.75377,0.70528,0.47878,1.03695,0.91915,1.33105,0.009604,0.009604,0.009604
6,470.42,1.00081,0.83025,1.25294,0.56885,0.70703,0.66221,0.45466,0.95117,0.96468,1.2571,0.009505,0.009505,0.009505
7,508.705,0.9796,0.79834,1.24125,0.66105,0.79635,0.73899,0.55086,0.8865,0.69017,1.20187,0.009406,0.009406,0.009406
8,547.302,0.96564,0.76715,1.22861,0.74917,0.73964,0.78639,0.57273,0.90765,0.94167,1.20847,0.009307,0.009307,0.009307
9,585.894,0.95378,0.75279,1.22584,0.64591,0.78245,0.75842,0.5551,0.90703,0.70608,1.22135,0.009208,0.009208,0.009208
10,623.817,0.94016,0.72306,1.21049,0.7183,0.76063,0.81148,0.59915,0.93798,0.6927,1.24026,0.009109,0.009109,0.009109
11,701.135,0.92786,0.71139,1.20506,0.73671,0.7884,0.82112,0.61913,0.87717,0.61157,1.19006,0.00901,0.00901,0.00901
12,814.146,0.92145,0.70231,1.20315,0.74619,0.81256,0.82702,0.62197,0.86128,0.68104,1.17672,0.008911,0.008911,0.008911
13,931.156,0.91016,0.68744,1.19227,0.7757,0.79953,0.85446,0.63862,0.86352,0.62693,1.17358,0.008812,0.008812,0.008812
14,1048.03,0.90585,0.67911,1.19039,0.76566,0.78549,0.83827,0.63223,0.89258,0.59954,1.19242,0.008713,0.008713,0.008713
15,1163.37,0.89552,0.66662,1.18304,0.79579,0.78852,0.85895,0.65601,0.85276,0.68618,1.17385,0.008614,0.008614,0.008614
16,1280.32,0.88795,0.65882,1.17766,0.83889,0.81712,0.8849,0.6767,0.84006,0.58595,1.15685,0.008515,0.008515,0.008515
17,1390.42,0.88915,0.65932,1.18291,0.77769,0.79248,0.87468,0.65676,0.8614,0.61857,1.1792,0.008416,0.008416,0.008416
18,1429.42,0.88765,0.65041,1.17867,0.77215,0.89088,0.89961,0.68381,0.87073,0.55742,1.17492,0.008317,0.008317,0.008317
19,1468.47,0.88707,0.64709,1.18255,0.80734,0.85256,0.87863,0.65907,0.89698,0.57252,1.19323,0.008218,0.008218,0.008218
20,1507.82,0.88086,0.64273,1.17317,0.68816,0.68979,0.73639,0.52111,0.96675,1.08674,1.24863,0.008119,0.008119,0.008119
21,1546.65,0.87084,0.63584,1.17098,0.79141,0.83617,0.8765,0.67612,0.84983,0.54984,1.16993,0.00802,0.00802,0.00802
22,1585.45,0.86927,0.62773,1.16898,0.85703,0.82457,0.89866,0.6906,0.82419,0.53932,1.14156,0.007921,0.007921,0.007921
23,1624.79,0.86488,0.62032,1.16594,0.84447,0.8427,0.91211,0.69639,0.86287,0.5478,1.17528,0.007822,0.007822,0.007822
24,1663.61,0.86384,0.61735,1.16573,0.83468,0.84692,0.90727,0.69974,0.86621,0.56759,1.15439,0.007723,0.007723,0.007723
25,1752.05,0.86723,0.62249,1.16919,0.87135,0.84241,0.9126,0.70138,0.83528,0.51249,1.14246,0.007624,0.007624,0.007624
26,1865.67,0.85896,0.61496,1.16169,0.79966,0.89464,0.89947,0.68869,0.87702,0.52862,1.17846,0.007525,0.007525,0.007525
27,1980.36,0.85328,0.6107,1.15927,0.86063,0.90342,0.91813,0.71001,0.81783,0.50683,1.13333,0.007426,0.007426,0.007426
28,2097.83,0.85059,0.60748,1.15783,0.86398,0.87909,0.92138,0.72278,0.82843,0.48428,1.13883,0.007327,0.007327,0.007327
29,2213.13,0.84226,0.59524,1.14777,0.87911,0.881,0.91461,0.71056,0.82746,0.47505,1.14378,0.007228,0.007228,0.007228
30,2329.38,0.84601,0.59694,1.15047,0.87008,0.88208,0.92066,0.72215,0.84213,0.48137,1.14281,0.007129,0.007129,0.007129
31,2426.35,0.8424,0.59265,1.15052,0.8687,0.86544,0.92328,0.72575,0.81128,0.48563,1.12907,0.00703,0.00703,0.00703
32,2465.59,0.84477,0.60364,1.15472,0.8427,0.86472,0.90841,0.71499,0.811,0.48174,1.12601,0.006931,0.006931,0.006931
33,2505.52,0.83431,0.58513,1.14493,0.89245,0.89254,0.93413,0.73141,0.84803,0.45411,1.15258,0.006832,0.006832,0.006832
34,2544.97,0.8353,0.58601,1.1466,0.88919,0.87736,0.92937,0.73065,0.79423,0.50016,1.11858,0.006733,0.006733,0.006733
35,2584.27,0.83092,0.58407,1.14119,0.90555,0.87895,0.93115,0.72377,0.81665,0.48117,1.13597,0.006634,0.006634,0.006634
36,2623.6,0.82954,0.58115,1.1446,0.85451,0.90199,0.92416,0.73261,0.79087,0.45703,1.11377,0.006535,0.006535,0.006535
37,2662.56,0.82321,0.57183,1.1376,0.88136,0.87751,0.93199,0.73334,0.81023,0.45856,1.1209,0.006436,0.006436,0.006436
38,2700.96,0.82301,0.57415,1.13883,0.89382,0.90298,0.92572,0.72562,0.825,0.46098,1.13085,0.006337,0.006337,0.006337
39,2784.39,0.82287,0.57292,1.13767,0.89389,0.8838,0.92714,0.72836,0.80742,0.45042,1.12329,0.006238,0.006238,0.006238
40,2898.22,0.82096,0.56784,1.13879,0.90073,0.88416,0.9361,0.73696,0.81043,0.4539,1.11715,0.006139,0.006139,0.006139
41,3015.85,0.81867,0.56822,1.13732,0.8689,0.91277,0.93156,0.73673,0.80758,0.4488,1.11687,0.00604,0.00604,0.00604
42,3131.99,0.8199,0.56301,1.13203,0.89212,0.86934,0.92939,0.73372,0.78361,0.43943,1.10318,0.005941,0.005941,0.005941
43,3248.16,0.81351,0.55695,1.12991,0.91189,0.90223,0.93273,0.73973,0.78681,0.43393,1.11341,0.005842,0.005842,0.005842
44,3364.53,0.8117,0.55912,1.12919,0.89607,0.88323,0.93051,0.73466,0.79679,0.43467,1.1137,0.005743,0.005743,0.005743
45,3463.98,0.81114,0.55531,1.12735,0.90915,0.87865,0.93309,0.72525,0.83622,0.44287,1.14295,0.005644,0.005644,0.005644
46,3503.34,0.80614,0.54898,1.12484,0.90012,0.90731,0.92882,0.73689,0.78596,0.42669,1.10646,0.005545,0.005545,0.005545
47,3542.12,0.80558,0.54968,1.12393,0.87531,0.90125,0.92587,0.73815,0.79252,0.43029,1.11424,0.005446,0.005446,0.005446
48,3580.62,0.80859,0.54983,1.12673,0.88961,0.88019,0.92618,0.73556,0.77962,0.43943,1.10417,0.005347,0.005347,0.005347
49,3619.3,0.80131,0.54791,1.12414,0.88488,0.9052,0.93405,0.73852,0.79117,0.43028,1.1105,0.005248,0.005248,0.005248
50,3657.88,0.79651,0.53996,1.12019,0.85642,0.91976,0.92405,0.7363,0.77917,0.42302,1.1035,0.005149,0.005149,0.005149
51,3696.48,0.79143,0.54048,1.11753,0.91331,0.89046,0.93398,0.74129,0.78753,0.42027,1.10878,0.00505,0.00505,0.00505
52,3734.94,0.79172,0.54188,1.11656,0.898,0.8958,0.9294,0.74292,0.77453,0.41283,1.09859,0.004951,0.004951,0.004951
53,3819.25,0.79044,0.53737,1.11402,0.90763,0.88109,0.92792,0.74218,0.77903,0.42451,1.10515,0.004852,0.004852,0.004852
54,3931.41,0.79214,0.53681,1.11822,0.88624,0.9012,0.92778,0.73874,0.77953,0.41529,1.10172,0.004753,0.004753,0.004753
55,4046.72,0.7859,0.53043,1.1128,0.87939,0.91162,0.92996,0.73564,0.80354,0.41693,1.12071,0.004654,0.004654,0.004654
56,4162.97,0.78348,0.53008,1.113,0.86898,0.9278,0.93302,0.73972,0.78642,0.40962,1.10457,0.004555,0.004555,0.004555
57,4278.87,0.78352,0.52744,1.1136,0.9068,0.88376,0.93771,0.74733,0.77226,0.40714,1.09887,0.004456,0.004456,0.004456
58,4394.87,0.7795,0.52716,1.10821,0.87643,0.91116,0.9352,0.74616,0.78859,0.41015,1.1037,0.004357,0.004357,0.004357
59,4498.13,0.78273,0.52721,1.11201,0.87982,0.90861,0.93468,0.74545,0.78356,0.4062,1.10869,0.004258,0.004258,0.004258
60,4537.08,0.77374,0.52226,1.10463,0.92032,0.88628,0.9372,0.74363,0.77656,0.40143,1.10016,0.004159,0.004159,0.004159
61,4576.21,0.77637,0.52064,1.108,0.88967,0.90165,0.93194,0.74763,0.78631,0.40127,1.10138,0.00406,0.00406,0.00406
62,4614.33,0.77588,0.51822,1.10665,0.91118,0.89539,0.94038,0.74599,0.78869,0.4016,1.10529,0.003961,0.003961,0.003961
