epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.344,1.05449,1.74234,1.20598,0.59851,0.34524,0.43283,0.30614,0.9172,1.11359,1.24739,0.0033253,0.0033253,0.0033253
2,263.549,0.9461,0.88004,1.12564,0.57239,0.56083,0.60741,0.44081,0.837,0.85449,1.16613,0.00659271,0.00659271,0.00659271
3,385.583,0.95877,0.83972,1.13072,0.53387,0.79305,0.63995,0.48033,0.88872,1.07593,1.20227,0.00979413,0.00979413,0.00979413
4,508.857,0.95391,0.81507,1.13451,0.52273,0.78051,0.69506,0.47982,0.95334,0.98822,1.28392,0.009703,0.009703,0.009703
5,630.715,0.93002,0.75225,1.11904,0.62009,0.8613,0.77603,0.59145,0.84341,0.71434,1.16849,0.009604,0.009604,0.009604
6,752.924,0.92048,0.71741,1.11103,0.63281,0.83836,0.7924,0.61323,0.83169,0.68768,1.15428,0.009505,0.009505,0.009505
7,874.991,0.89649,0.68431,1.10148,0.66163,0.81137,0.76677,0.56079,0.89037,0.74742,1.22106,0.009406,0.009406,0.009406
8,997.473,0.88896,0.66366,1.09562,0.67872,0.76895,0.76293,0.57925,0.83027,0.72106,1.16517,0.009307,0.009307,0.009307
9,1119.61,0.8862,0.64884,1.09571,0.71296,0.82619,0.83449,0.63971,0.81729,0.58267,1.15656,0.009208,0.009208,0.009208
10,1242.48,0.87204,0.62707,1.08463,0.75526,0.86163,0.87401,0.67588,0.80681,0.60973,1.13887,0.009109,0.009109,0.009109
11,1364.69,0.86542,0.61499,1.08265,0.72509,0.8397,0.85997,0.66164,0.79832,0.64294,1.13684,0.00901,0.00901,0.00901
12,1487.2,0.8636,0.60439,1.08388,0.8223,0.87906,0.89954,0.70307,0.78635,0.54007,1.12486,0.008911,0.008911,0.008911
13,1608.99,0.85274,0.59369,1.075,0.77937,0.86062,0.89064,0.69289,0.78993,0.53964,1.12598,0.008812,0.008812,0.008812
14,1730.56,0.85221,0.58899,1.07578,0.77652,0.8671,0.88208,0.69562,0.78661,0.53004,1.12086,0.008713,0.008713,0.008713
15,1815.38,0.84311,0.57413,1.06914,0.83557,0.81729,0.89281,0.70145,0.77457,0.51294,1.10939,0.008614,0.008614,0.008614
16,1874.87,0.83743,0.57086,1.06487,0.82331,0.84773,0.89909,0.70442,0.77799,0.50303,1.11808,0.008515,0.008515,0.008515
17,1934.39,0.83583,0.56515,1.06839,0.84537,0.86712,0.89863,0.70791,0.77356,0.49374,1.11156,0.008416,0.008416,0.008416
18,1993.85,0.83571,0.55973,1.06638,0.84624,0.83029,0.89653,0.70568,0.78552,0.48389,1.11783,0.008317,0.008317,0.008317
19,2053,0.83072,0.55305,1.06627,0.84401,0.87241,0.91401,0.71926,0.77181,0.48408,1.10899,0.008218,0.008218,0.008218
20,2112.72,0.82331,0.5457,1.05827,0.89478,0.84097,0.91619,0.72594,0.76494,0.4533,1.10475,0.008119,0.008119,0.008119
21,2161.49,0.81893,0.54126,1.05814,0.86523,0.84035,0.9196,0.72157,0.77275,0.48029,1.11283,0.00802,0.00802,0.00802
22,2189.56,0.81433,0.53609,1.05608,0.8362,0.89334,0.91708,0.73093,0.75804,0.45333,1.0995,0.007921,0.007921,0.007921
23,2263.53,0.8114,0.52752,1.05349,0.8489,0.88598,0.91698,0.73352,0.76496,0.44838,1.1036,0.007822,0.007822,0.007822
24,2383.92,0.80826,0.52412,1.05283,0.85929,0.87924,0.92502,0.73056,0.75951,0.45333,1.09941,0.007723,0.007723,0.007723
25,2504.69,0.80963,0.52475,1.05497,0.81113,0.86092,0.90815,0.72718,0.76071,0.46733,1.10268,0.007624,0.007624,0.007624
26,2626.25,0.804,0.51936,1.04888,0.89475,0.87488,0.91595,0.7273,0.74932,0.42683,1.09013,0.007525,0.007525,0.007525
27,2748.37,0.79662,0.51228,1.04359,0.83092,0.89415,0.92499,0.73968,0.76306,0.45167,1.10352,0.007426,0.007426,0.007426
28,2870.08,0.79503,0.5121,1.04545,0.83865,0.85954,0.90211,0.71734,0.76066,0.45275,1.10313,0.007327,0.007327,0.007327
29,2991.82,0.79218,0.50383,1.04016,0.86169,0.89654,0.92721,0.74335,0.73894,0.42815,1.08664,0.007228,0.007228,0.007228
30,3113.29,0.7917,0.50386,1.0403,0.87157,0.87579,0.92653,0.74042,0.74762,0.42889,1.09313,0.007129,0.007129,0.007129
31,3235.17,0.78145,0.49561,1.0364,0.86634,0.89561,0.929,0.74468,0.73636,0.4146,1.08155,0.00703,0.00703,0.00703
32,3337.98,0.78763,0.51366,1.04207,0.86033,0.89287,0.92409,0.7494,0.7388,0.41371,1.07968,0.006931,0.006931,0.006931
33,3366.49,0.77586,0.48936,1.03258,0.85222,0.8888,0.91271,0.73794,0.72778,0.42049,1.07473,0.006832,0.006832,0.006832
34,3394.39,0.77393,0.48737,1.03211,0.89182,0.88619,0.93076,0.75047,0.73033,0.41031,1.07612,0.006733,0.006733,0.006733
35,3422.37,0.77077,0.48266,1.03072,0.86907,0.89253,0.92927,0.7478,0.72491,0.40375,1.07093,0.006634,0.006634,0.006634
36,3450.58,0.76707,0.47933,1.03038,0.87364,0.90793,0.93243,0.74715,0.73281,0.40722,1.08054,0.006535,0.006535,0.006535
37,3478.76,0.75854,0.46917,1.02502,0.91934,0.86576,0.93019,0.75668,0.71634,0.39635,1.0655,0.006436,0.006436,0.006436
