epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9671,2.54824,2.65989,3.45884,0.88693,0.11298,0.11497,0.02824,2.49461,2.88353,3.45904,0.0033253,0.0033253,0.0033253
2,61.2801,1.81161,1.74979,2.49728,0.78006,0.13378,0.11988,0.03807,2.49745,3.77332,3.33517,0.00659271,0.00659271,0.00659271
3,83.5963,1.57944,1.5808,2.20949,0.77115,0.13376,0.14242,0.03378,2.51203,2.71811,3.5329,0.00979413,0.00979413,0.00979413
4,106.125,1.45738,1.46475,2.05426,0.05025,0.46214,0.10746,0.02447,2.99632,3.29765,4.45345,0.009703,0.009703,0.009703
5,128.07,1.36443,1.3287,1.93934,0.46864,0.35727,0.31285,0.14994,1.72015,1.91345,2.50313,0.009604,0.009604,0.009604
6,149.773,1.29936,1.25061,1.86301,0.3417,0.37758,0.30761,0.08992,2.4977,2.33298,3.73098,0.009505,0.009505,0.009505
7,170.571,1.26644,1.20472,1.81513,0.37274,0.4494,0.39213,0.17007,1.92136,1.818,2.71884,0.009406,0.009406,0.009406
8,190.312,1.23238,1.155,1.78362,0.25533,0.4719,0.36898,0.15018,1.96181,1.77232,2.84975,0.009307,0.009307,0.009307
9,209.629,1.20901,1.13532,1.75314,0.38432,0.43617,0.40771,0.17453,1.84379,1.881,2.72116,0.009208,0.009208,0.009208
10,228.555,1.18956,1.0872,1.72752,0.32186,0.4773,0.41787,0.25036,1.33389,1.45457,2.11106,0.009109,0.009109,0.009109
11,247.526,1.16257,1.06744,1.70099,0.39746,0.4277,0.43614,0.25327,1.42575,1.6967,2.15118,0.00901,0.00901,0.00901
12,266.855,1.15266,1.04908,1.68864,0.33483,0.46315,0.42281,0.24164,1.34494,1.4614,2.08954,0.008911,0.008911,0.008911
13,285.698,1.14032,1.02525,1.66736,0.4422,0.62625,0.53404,0.30155,1.39041,1.37521,2.12178,0.008812,0.008812,0.008812
14,305.105,1.12925,1.0099,1.65599,0.39326,0.57718,0.50623,0.29384,1.41087,1.41159,2.11916,0.008713,0.008713,0.008713
15,323.995,1.11601,0.98789,1.64083,0.34536,0.50425,0.45488,0.27186,1.3438,1.46719,2.0413,0.008614,0.008614,0.008614
16,343.114,1.09512,0.9747,1.62143,0.3879,0.52465,0.48023,0.27984,1.34024,1.42042,2.0238,0.008515,0.008515,0.008515
17,362.025,1.09855,0.9766,1.62304,0.34231,0.57802,0.50125,0.28094,1.40748,1.44042,2.13893,0.008416,0.008416,0.008416
18,381.792,1.09935,0.96041,1.62198,0.33442,0.49895,0.47461,0.28222,1.37806,1.65421,2.08557,0.008317,0.008317,0.008317
