epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.298,2.82504,22.8326,3.58024,0.38037,0.48089,0.32523,0.11046,2.46406,19.2509,3.21527,0.003332,0.003332,0.003332
2,240.481,1.88994,15.8032,2.52652,0.45628,0.62775,0.53658,0.19007,2.18403,13.8915,2.94599,0.00659934,0.00659934,0.00659934
3,354.094,1.66189,13.7637,2.20208,0.55293,0.69201,0.60823,0.22553,2.37951,15.6923,3.26595,0.00980069,0.00980069,0.00980069
4,464.476,1.53945,12.4448,2.04093,0.62343,0.65239,0.7239,0.38536,1.9284,11.2784,2.68149,0.009703,0.009703,0.009703
5,574.996,1.46449,11.4786,1.95633,0.62897,0.72498,0.75906,0.44528,1.63757,9.99681,2.29837,0.009604,0.009604,0.009604
6,686.178,1.42473,10.9535,1.90734,0.72612,0.76871,0.79739,0.44366,1.84317,10.0063,2.59662,0.009505,0.009505,0.009505
7,795.655,1.39198,10.5712,1.87534,0.72845,0.7643,0.78853,0.48517,1.59462,9.63561,2.22993,0.009406,0.009406,0.009406
8,904.672,1.37172,10.2632,1.85098,0.73059,0.82178,0.81862,0.51374,1.49293,8.48925,2.115,0.009307,0.009307,0.009307
9,1013.69,1.34991,10.0214,1.83226,0.69192,0.85156,0.83284,0.5079,1.49589,8.75166,2.11215,0.009208,0.009208,0.009208
10,1122.7,1.33896,9.93333,1.82578,0.74696,0.80442,0.82293,0.51727,1.40213,8.67736,2.0192,0.009109,0.009109,0.009109
11,1235.95,1.32726,9.74037,1.81099,0.77128,0.80821,0.84145,0.53725,1.43,8.54758,2.04404,0.00901,0.00901,0.00901
12,1351.3,1.31816,9.64186,1.79717,0.79379,0.8371,0.86023,0.5561,1.3941,8.11591,1.99876,0.008911,0.008911,0.008911
13,1462.1,1.31058,9.5374,1.78922,0.79235,0.81332,0.85774,0.57279,1.32903,8.0662,1.93711,0.008812,0.008812,0.008812
14,1572.41,1.3036,9.46415,1.78318,0.80429,0.8185,0.86314,0.57147,1.3383,8.1524,1.94308,0.008713,0.008713,0.008713
15,1683.46,1.29774,9.39153,1.77783,0.81162,0.82337,0.86747,0.57314,1.3597,7.96763,1.94587,0.008614,0.008614,0.008614
16,1795.57,1.2931,9.32405,1.77625,0.83829,0.803,0.86957,0.57608,1.34249,8.2279,1.92245,0.008515,0.008515,0.008515
17,1906.04,1.29189,9.27985,1.76862,0.80948,0.81951,0.86849,0.5779,1.33369,8.10942,1.91665,0.008416,0.008416,0.008416
18,2016.67,1.28004,9.17715,1.76259,0.81494,0.82854,0.8682,0.58032,1.34011,8.04425,1.92373,0.008317,0.008317,0.008317
19,2126.74,1.27744,9.18545,1.76014,0.81003,0.8268,0.86893,0.58274,1.35986,7.94072,1.94031,0.008218,0.008218,0.008218
20,2236.6,1.27641,9.11789,1.75369,0.82317,0.8252,0.86935,0.5801,1.37139,7.89751,1.95286,0.008119,0.008119,0.008119
21,2347.3,1.26802,9.04323,1.74628,0.80866,0.83894,0.8699,0.57975,1.37656,7.92672,1.95615,0.00802,0.00802,0.00802
22,2458.5,1.27078,9.03339,1.74862,0.82926,0.82667,0.87114,0.58318,1.36831,7.9071,1.9475,0.007921,0.007921,0.007921
23,2566.63,1.26211,8.94919,1.73915,0.82477,0.8287,0.87113,0.58689,1.36078,7.83727,1.93652,0.007822,0.007822,0.007822
24,2675.2,1.2569,8.88833,1.73578,0.82192,0.82871,0.87136,0.58827,1.35843,7.86581,1.93208,0.007723,0.007723,0.007723
25,2785.28,1.25489,8.8558,1.73186,0.82344,0.83173,0.86952,0.58416,1.36347,7.95342,1.93515,0.007624,0.007624,0.007624
26,2896.51,1.25782,8.89676,1.73833,0.82254,0.82801,0.86833,0.58333,1.36436,7.95814,1.93544,0.007525,0.007525,0.007525
27,3006.47,1.25102,8.78292,1.72806,0.82087,0.82947,0.8685,0.58547,1.36189,7.98239,1.93207,0.007426,0.007426,0.007426
28,3116.68,1.24515,8.73153,1.725,0.82222,0.83211,0.86959,0.58659,1.36078,7.98151,1.93044,0.007327,0.007327,0.007327
29,3227.7,1.24703,8.72939,1.72208,0.82157,0.8362,0.8704,0.58676,1.36469,7.98227,1.93191,0.007228,0.007228,0.007228
30,3338.31,1.24355,8.73638,1.7179,0.82148,0.83514,0.8707,0.5864,1.3724,7.95564,1.93745,0.007129,0.007129,0.007129
31,3449.12,1.23633,8.68193,1.71656,0.81932,0.84223,0.8716,0.58808,1.37458,7.91353,1.93806,0.00703,0.00703,0.00703
