epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,461.042,2.6338,20.2976,3.21621,0.6772,0.13919,0.15148,0.05096,2.33156,24.6597,3.26788,0.00333224,0.00333224,0.00333224
2,605.407,1.83178,14.4386,2.19701,0.36716,0.37111,0.31603,0.09177,2.53393,17.2014,3.29905,0.00659958,0.00659958,0.00659958
3,747.942,1.66655,12.9921,1.9609,0.41664,0.47204,0.44212,0.14363,2.37948,15.7814,3.12211,0.00980093,0.00980093,0.00980093
4,888.643,1.56711,11.9344,1.83128,0.46239,0.56861,0.52708,0.21208,1.99745,13.3307,2.66754,0.009703,0.009703,0.009703
5,1028.14,1.51086,11.2722,1.76079,0.50932,0.66252,0.59879,0.22779,1.96007,14.029,2.58788,0.009604,0.009604,0.009604
6,1168.15,1.48033,10.9178,1.72302,0.49292,0.6823,0.62014,0.26613,1.72167,12.5577,2.31772,0.009505,0.009505,0.009505
7,1308.74,1.45554,10.6037,1.6925,0.49622,0.67787,0.64535,0.29617,1.64696,12.3158,2.2289,0.009406,0.009406,0.009406
8,1447.85,1.4388,10.4078,1.67472,0.51539,0.71223,0.66716,0.31008,1.65148,12.0548,2.20804,0.009307,0.009307,0.009307
9,1587.82,1.42831,10.2665,1.66438,0.56254,0.69712,0.6771,0.32368,1.64731,11.5371,2.19132,0.009208,0.009208,0.009208
10,1727.72,1.42111,10.1717,1.65313,0.53196,0.70804,0.68271,0.34662,1.52616,11.0901,2.06944,0.009109,0.009109,0.009109
11,1866.54,1.41483,10.0719,1.64548,0.5153,0.72438,0.69795,0.35231,1.54816,11.1968,2.08004,0.00901,0.00901,0.00901
12,2005.72,1.40404,9.93438,1.63271,0.52879,0.74787,0.70048,0.3758,1.47861,10.9488,2.00877,0.008911,0.008911,0.008911
13,2144.06,1.40221,9.88865,1.63011,0.55866,0.72593,0.69957,0.38962,1.42445,10.7223,1.95979,0.008812,0.008812,0.008812
14,2284.49,1.39731,9.82652,1.62379,0.57513,0.73754,0.71542,0.38757,1.44397,10.7749,1.97162,0.008713,0.008713,0.008713
15,2422.05,1.39313,9.769,1.61783,0.59325,0.73438,0.73098,0.39804,1.43939,10.5791,1.9652,0.008614,0.008614,0.008614
16,2562.85,1.38999,9.73809,1.61728,0.6007,0.73344,0.73145,0.4018,1.42156,10.4936,1.94789,0.008515,0.008515,0.008515
17,2702.51,1.38445,9.65312,1.60942,0.59717,0.76583,0.72706,0.39829,1.41801,10.4323,1.94161,0.008416,0.008416,0.008416
18,2842.02,1.38115,9.61795,1.60603,0.59651,0.74306,0.72375,0.39767,1.42302,10.411,1.94345,0.008317,0.008317,0.008317
19,2980.18,1.37934,9.59863,1.6022,0.59402,0.73311,0.73132,0.4009,1.41553,10.4152,1.93498,0.008218,0.008218,0.008218
20,3121.41,1.37676,9.54786,1.59721,0.58812,0.74258,0.73616,0.40503,1.41445,10.3877,1.93334,0.008119,0.008119,0.008119
21,3262.07,1.37269,9.49274,1.59389,0.58887,0.75598,0.73627,0.40735,1.40958,10.3415,1.92648,0.00802,0.00802,0.00802
22,3401.52,1.37103,9.44996,1.59167,0.63184,0.7425,0.74272,0.41159,1.40896,10.3255,1.92389,0.007921,0.007921,0.007921
23,3540.67,1.3704,9.44644,1.58565,0.6238,0.73988,0.74554,0.41337,1.40761,10.3192,1.92138,0.007822,0.007822,0.007822
24,3679.2,1.365,9.38571,1.58296,0.63927,0.73311,0.74488,0.41712,1.4083,10.3251,1.92051,0.007723,0.007723,0.007723
25,3818.29,1.36682,9.38854,1.58226,0.64476,0.72455,0.74587,0.41789,1.40916,10.3327,1.92027,0.007624,0.007624,0.007624
26,3956.37,1.36305,9.33695,1.57758,0.62844,0.73038,0.74652,0.41986,1.41143,10.3707,1.92133,0.007525,0.007525,0.007525
27,4095.76,1.36383,9.34714,1.57907,0.63195,0.72769,0.74373,0.42014,1.4112,10.3801,1.92043,0.007426,0.007426,0.007426
28,4234.87,1.36192,9.30755,1.57701,0.62958,0.72066,0.74396,0.4203,1.41053,10.3842,1.91809,0.007327,0.007327,0.007327
29,4374.94,1.3603,9.2872,1.57385,0.62307,0.71468,0.74162,0.42012,1.41053,10.3994,1.91709,0.007228,0.007228,0.007228
30,4513.28,1.35956,9.26768,1.57331,0.62484,0.70073,0.73931,0.41869,1.40889,10.3881,1.91591,0.007129,0.007129,0.007129
31,4652.86,1.35413,9.22057,1.56959,0.62644,0.70273,0.73892,0.42448,1.40373,10.3521,1.91134,0.00703,0.00703,0.00703
32,4791.5,1.35238,9.21917,1.56557,0.6239,0.7013,0.73906,0.42926,1.39814,10.3469,1.90712,0.006931,0.006931,0.006931
33,4930.15,1.35314,9.19734,1.56225,0.62268,0.69903,0.73892,0.4294,1.39298,10.3576,1.9018,0.006832,0.006832,0.006832
34,5068.64,1.35033,9.16255,1.55924,0.61736,0.70297,0.73712,0.42991,1.3872,10.3423,1.89684,0.006733,0.006733,0.006733
35,5205.51,1.35008,9.16014,1.56227,0.62421,0.70475,0.73777,0.43038,1.38489,10.341,1.89481,0.006634,0.006634,0.006634
36,5344.18,1.35175,9.14537,1.56115,0.628,0.70288,0.73497,0.4318,1.38156,10.3148,1.89115,0.006535,0.006535,0.006535
37,5482.67,1.34924,9.13121,1.56263,0.61274,0.72183,0.7352,0.43463,1.37616,10.3244,1.88699,0.006436,0.006436,0.006436
38,5621.92,1.34568,9.07946,1.55362,0.62732,0.72103,0.73419,0.43366,1.36942,10.3351,1.88134,0.006337,0.006337,0.006337
39,5757.01,1.34661,9.07726,1.55629,0.62776,0.71502,0.73357,0.43381,1.3608,10.341,1.87453,0.006238,0.006238,0.006238
40,5894.41,1.34668,9.08663,1.55358,0.61247,0.7408,0.7364,0.43581,1.35819,10.3356,1.87044,0.006139,0.006139,0.006139
41,6032.36,1.34552,9.0771,1.55547,0.61721,0.72759,0.73816,0.43812,1.3578,10.3266,1.86983,0.00604,0.00604,0.00604
42,6171.57,1.34332,9.06394,1.55248,0.62024,0.72847,0.74147,0.44195,1.355,10.3164,1.86721,0.005941,0.005941,0.005941
43,6309.06,1.34316,9.03778,1.55343,0.63035,0.74026,0.74246,0.44388,1.35126,10.2994,1.86343,0.005842,0.005842,0.005842
44,6448.89,1.34268,9.04297,1.55043,0.63442,0.73986,0.74307,0.4455,1.34713,10.2758,1.85991,0.005743,0.005743,0.005743
45,6589.69,1.33985,9.01428,1.55103,0.63486,0.73727,0.74089,0.44454,1.34567,10.2576,1.85833,0.005644,0.005644,0.005644
46,6727.83,1.33771,8.96477,1.54761,0.64814,0.72634,0.74247,0.44641,1.34352,10.2629,1.85497,0.005545,0.005545,0.005545
47,6867.88,1.33947,9.00036,1.55091,0.63755,0.73494,0.74605,0.44904,1.34156,10.2355,1.85337,0.005446,0.005446,0.005446
48,7227.87,1.34007,8.97009,1.54638,0.63914,0.72824,0.74824,0.44949,1.33969,10.2258,1.85091,0.005347,0.005347,0.005347
49,7368.03,1.33762,8.97134,1.54333,0.63429,0.73408,0.74813,0.44895,1.34004,10.2054,1.84955,0.005248,0.005248,0.005248
50,7506.73,1.33653,8.93157,1.5446,0.6358,0.73716,0.7501,0.4487,1.34041,10.1877,1.84947,0.005149,0.005149,0.005149
51,7644.49,1.33429,8.92731,1.54461,0.62945,0.7465,0.75108,0.45167,1.33912,10.1743,1.84839,0.00505,0.00505,0.00505
52,7782.61,1.3348,8.9099,1.54047,0.63297,0.74455,0.75426,0.45541,1.33648,10.1258,1.84602,0.004951,0.004951,0.004951
53,7921.45,1.33274,8.88439,1.53915,0.65635,0.73286,0.75811,0.45549,1.33427,10.0943,1.84364,0.004852,0.004852,0.004852
54,8062.07,1.33409,8.88882,1.54112,0.66786,0.73128,0.75925,0.45704,1.33531,10.0779,1.84465,0.004753,0.004753,0.004753
55,8201.09,1.33211,8.86719,1.54232,0.65984,0.74325,0.76248,0.4597,1.33694,10.0508,1.84561,0.004654,0.004654,0.004654
56,8340.8,1.33229,8.85318,1.5383,0.66912,0.74265,0.7654,0.46058,1.33255,10.0314,1.84107,0.004555,0.004555,0.004555
57,8477.98,1.33199,8.86555,1.53899,0.65291,0.74374,0.76345,0.46064,1.33169,10.0099,1.83997,0.004456,0.004456,0.004456
58,8617.69,1.32774,8.79899,1.53569,0.6473,0.75309,0.76241,0.45859,1.33012,9.9634,1.83844,0.004357,0.004357,0.004357
59,8756.29,1.32999,8.81964,1.53709,0.65075,0.73842,0.76167,0.46074,1.32683,9.92439,1.83513,0.004258,0.004258,0.004258
60,8893.72,1.32787,8.79496,1.53511,0.66232,0.736,0.76137,0.46194,1.3255,9.84905,1.83374,0.004159,0.004159,0.004159
61,9034.18,1.32574,8.77881,1.53409,0.65244,0.73924,0.76595,0.46397,1.32505,9.80542,1.83266,0.00406,0.00406,0.00406
62,9171.34,1.32711,8.79163,1.53776,0.65308,0.7401,0.76954,0.46606,1.32574,9.76867,1.83251,0.003961,0.003961,0.003961
63,9311.43,1.32584,8.77473,1.53566,0.66875,0.73822,0.77137,0.46893,1.32339,9.72487,1.83031,0.003862,0.003862,0.003862
64,9451.23,1.32685,8.76813,1.53508,0.67094,0.74147,0.76982,0.46809,1.32356,9.70647,1.8299,0.003763,0.003763,0.003763
65,9590.74,1.32223,8.7159,1.5343,0.65825,0.75592,0.767,0.46556,1.32411,9.67965,1.83034,0.003664,0.003664,0.003664
66,9731.04,1.3239,8.73125,1.53287,0.66407,0.76024,0.77034,0.46934,1.32385,9.64569,1.82982,0.003565,0.003565,0.003565
67,9874.56,1.32165,8.71313,1.53075,0.67626,0.74983,0.77136,0.47127,1.32467,9.60714,1.83017,0.003466,0.003466,0.003466
68,10014.4,1.32218,8.69525,1.52834,0.67099,0.73808,0.77436,0.47219,1.32605,9.56742,1.83019,0.003367,0.003367,0.003367
69,10154.4,1.32362,8.70002,1.52882,0.68426,0.73947,0.77469,0.47481,1.32527,9.53244,1.82949,0.003268,0.003268,0.003268
70,10292.5,1.31936,8.69863,1.52881,0.68685,0.73712,0.77772,0.4789,1.32419,9.48362,1.82957,0.003169,0.003169,0.003169
71,10431.4,1.31837,8.64291,1.52727,0.69816,0.74189,0.78237,0.48214,1.32353,9.46404,1.82872,0.00307,0.00307,0.00307
72,10568.6,1.31715,8.64434,1.5263,0.70231,0.74056,0.78266,0.48327,1.32161,9.43244,1.82624,0.002971,0.002971,0.002971
73,10707.5,1.31887,8.63611,1.52946,0.71729,0.72762,0.7856,0.48508,1.32217,9.39018,1.82551,0.002872,0.002872,0.002872
74,10846.8,1.31715,8.63405,1.52486,0.72315,0.72295,0.78615,0.48683,1.32059,9.35749,1.82394,0.002773,0.002773,0.002773
75,10987,1.31634,8.59685,1.52334,0.72238,0.72139,0.78577,0.48588,1.32057,9.31547,1.82329,0.002674,0.002674,0.002674
76,11124.7,1.31513,8.58533,1.52421,0.70183,0.73631,0.78809,0.48895,1.32012,9.27069,1.82271,0.002575,0.002575,0.002575
77,11264.5,1.31337,8.59036,1.52354,0.70601,0.72419,0.78585,0.48863,1.31761,9.2473,1.82026,0.002476,0.002476,0.002476
78,11404.7,1.31286,8.57371,1.5228,0.70487,0.72552,0.7866,0.48754,1.31826,9.23566,1.82015,0.002377,0.002377,0.002377
79,11543.7,1.31195,8.56368,1.52265,0.71521,0.72544,0.78659,0.48672,1.3184,9.22103,1.82024,0.002278,0.002278,0.002278
80,11683.6,1.31113,8.54107,1.5204,0.7064,0.72388,0.78608,0.48673,1.31699,9.18905,1.81896,0.002179,0.002179,0.002179
81,11823,1.31193,8.55439,1.52055,0.69646,0.73184,0.78661,0.48766,1.31665,9.16585,1.81882,0.00208,0.00208,0.00208
82,11961.6,1.30828,8.50306,1.51826,0.69152,0.73743,0.78689,0.48802,1.31679,9.13445,1.81905,0.001981,0.001981,0.001981
83,12100.4,1.31033,8.51086,1.51744,0.69656,0.74024,0.78751,0.48981,1.31624,9.10466,1.81732,0.001882,0.001882,0.001882
84,12241.4,1.30848,8.48767,1.51738,0.6808,0.7463,0.7895,0.49127,1.31612,9.06779,1.81781,0.001783,0.001783,0.001783
85,12380.5,1.30466,8.46137,1.51683,0.69304,0.74078,0.78816,0.49029,1.31332,9.04748,1.8157,0.001684,0.001684,0.001684
86,12517.8,1.30828,8.49501,1.51545,0.69287,0.73905,0.78883,0.48966,1.31446,9.02399,1.81612,0.001585,0.001585,0.001585
87,12657.6,1.30425,8.45138,1.51675,0.69625,0.74015,0.79031,0.48861,1.31396,9.01662,1.81515,0.001486,0.001486,0.001486
88,12796.8,1.30436,8.4386,1.51598,0.69505,0.74228,0.79064,0.48885,1.31505,8.99538,1.81635,0.001387,0.001387,0.001387
89,12939.5,1.30336,8.3971,1.51184,0.69651,0.74308,0.79203,0.48992,1.31425,8.98839,1.81582,0.001288,0.001288,0.001288
90,13078.7,1.29913,8.38829,1.51241,0.71131,0.7401,0.79225,0.48825,1.31513,8.9849,1.8157,0.001189,0.001189,0.001189
91,13213.8,1.12618,6.20101,1.43788,0.72174,0.74901,0.79673,0.49471,1.31658,8.84493,1.81441,0.00109,0.00109,0.00109
92,13345.8,1.11189,5.95187,1.4268,0.7119,0.75855,0.80634,0.50223,1.31518,8.69366,1.81039,0.000991,0.000991,0.000991
93,13478.3,1.10344,5.79457,1.41873,0.71656,0.79066,0.81686,0.51501,1.31057,8.54161,1.80349,0.000892,0.000892,0.000892
94,13612,1.09709,5.71434,1.41781,0.70929,0.79706,0.82212,0.5234,1.30506,8.41169,1.7968,0.000793,0.000793,0.000793
95,13743.7,1.09232,5.63701,1.41603,0.72376,0.80683,0.82874,0.52868,1.30063,8.32112,1.7919,0.000694,0.000694,0.000694
96,13875.5,1.08848,5.5849,1.40679,0.74592,0.80126,0.83091,0.53071,1.29478,8.22949,1.7858,0.000595,0.000595,0.000595
97,14008.8,1.08637,5.5533,1.40607,0.74254,0.80349,0.83572,0.53505,1.28915,8.1523,1.78124,0.000496,0.000496,0.000496
98,14140.8,1.08149,5.50587,1.40546,0.75775,0.80467,0.84509,0.54399,1.28504,8.06595,1.77661,0.000397,0.000397,0.000397
99,14272.9,1.07862,5.47238,1.4015,0.76538,0.8042,0.84799,0.54567,1.27842,7.9782,1.77139,0.000298,0.000298,0.000298
100,14406.6,1.07563,5.42715,1.39644,0.7816,0.79447,0.85462,0.55191,1.27335,7.90526,1.7673,0.000199,0.000199,0.000199
