epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.513,2.35336,7.34341,2.92382,0.74454,0.16084,0.26933,0.07917,2.37381,6.733,3.15715,0.00333224,0.00333224,0.00333224
2,328.208,1.62259,4.98911,2.03694,0.48811,0.41185,0.4438,0.14113,2.42658,6.57394,3.38871,0.00659958,0.00659958,0.00659958
3,469.82,1.49115,4.42061,1.85,0.54602,0.52588,0.56116,0.22764,1.86369,4.9286,2.58409,0.00980093,0.00980093,0.00980093
4,606.371,1.40902,4.00635,1.73966,0.50493,0.65119,0.59701,0.23161,2.21812,4.54099,3.01203,0.009703,0.009703,0.009703
5,745.304,1.35121,3.73008,1.6729,0.56189,0.66044,0.66047,0.33331,1.61516,4.32407,2.20321,0.009604,0.009604,0.009604
6,882.415,1.3207,3.55993,1.63949,0.62114,0.65724,0.69243,0.40529,1.35751,3.73192,1.9057,0.009505,0.009505,0.009505
7,1017.61,1.3037,3.46253,1.61738,0.56122,0.73087,0.70795,0.42219,1.34215,3.78587,1.90555,0.009406,0.009406,0.009406
8,1153.41,1.28666,3.37621,1.59698,0.62696,0.73291,0.72473,0.42672,1.38602,3.69632,1.92305,0.009307,0.009307,0.009307
9,1290.19,1.27668,3.32391,1.58555,0.64248,0.73548,0.74863,0.45356,1.3342,3.77402,1.8757,0.009208,0.009208,0.009208
10,1426.91,1.26883,3.29083,1.5756,0.65713,0.73003,0.74925,0.46488,1.31259,3.58325,1.84902,0.009109,0.009109,0.009109
11,1564.59,1.26027,3.23558,1.56617,0.63204,0.7492,0.74497,0.47625,1.31599,3.58116,1.84734,0.00901,0.00901,0.00901
12,1701.11,1.25577,3.20987,1.56077,0.64415,0.74154,0.74144,0.47343,1.32604,3.54715,1.84796,0.008911,0.008911,0.008911
13,1836.26,1.24508,3.16874,1.5514,0.63792,0.75926,0.76268,0.48877,1.31347,3.54568,1.84091,0.008812,0.008812,0.008812
14,1973.19,1.2442,3.15246,1.54809,0.66171,0.75578,0.76899,0.48723,1.32283,3.51503,1.83601,0.008713,0.008713,0.008713
15,2107.99,1.23807,3.11684,1.53974,0.71618,0.7321,0.78249,0.49517,1.32238,3.46935,1.82992,0.008614,0.008614,0.008614
16,2243.48,1.2333,3.09961,1.53756,0.7042,0.74227,0.79056,0.50705,1.32008,3.46144,1.82502,0.008515,0.008515,0.008515
17,2378.67,1.23497,3.09939,1.53637,0.72711,0.72122,0.79013,0.51246,1.31087,3.44228,1.81814,0.008416,0.008416,0.008416
18,2514.65,1.22755,3.06566,1.52841,0.74701,0.72154,0.78837,0.51155,1.31988,3.42973,1.82284,0.008317,0.008317,0.008317
19,2650.45,1.2279,3.05316,1.52607,0.74549,0.71689,0.79038,0.5132,1.32678,3.40889,1.82909,0.008218,0.008218,0.008218
20,2787.29,1.22227,3.02816,1.52154,0.75063,0.71805,0.78876,0.51376,1.3292,3.41577,1.82825,0.008119,0.008119,0.008119
21,2923.54,1.21862,3.01486,1.51898,0.75236,0.72959,0.79099,0.51334,1.33541,3.40543,1.8302,0.00802,0.00802,0.00802
22,3060.51,1.22008,3.00751,1.51692,0.75735,0.73665,0.79775,0.51767,1.33884,3.39993,1.8312,0.007921,0.007921,0.007921
